T,ENC,IMU,Lag,ENC_RAW
3031,0.00,0.01,4.0,275
3035,0.00,0.01,4.8,275
3038,0.00,0.01,3.4,275
3043,0.00,0.01,5.0,275
3046,0.00,0.01,3.5,275
3053,0.00,0.01,7.6,275
3056,0.00,0.01,3.4,275
3060,0.00,0.01,5.2,275
3064,0.00,0.01,3.8,275
3068,0.00,0.01,4.8,275
3071,0.00,0.01,3.4,275
3075,0.00,0.01,4.4,275
3078,0.00,0.01,3.0,275
3083,0.00,0.01,5.8,275
3086,0.00,0.01,3.2,275
3090,0.00,0.01,4.4,275
3093,0.00,0.01,5.5,275
3096,0.00,0.01,3.8,275
3100,0.00,0.01,5.2,275
3104,0.00,0.01,3.0,275
3107,0.00,0.01,4.8,275
3111,0.00,0.01,5.7,275
3114,0.00,0.01,5.9,275
3117,0.00,0.01,4.9,275
3121,0.00,0.01,3.6,275
3125,0.00,0.01,5.0,275
3128,0.00,0.01,3.2,275
3132,0.00,0.01,4.6,275
3135,0.00,0.01,5.3,275
3139,0.00,0.01,3.2,275
3143,0.00,0.01,5.0,275
3146,0.00,0.01,3.4,275
3150,0.00,0.01,5.2,275
3154,0.00,0.01,5.9,275
3157,0.00,0.01,4.7,275
3161,0.00,0.01,3.2,275
3165,0.00,0.01,4.6,275
3168,0.00,0.01,2.8,275
3172,0.00,0.01,3.7,275
3175,0.00,0.01,5.0,275
3178,0.00,0.01,3.6,275
3182,0.00,0.01,4.6,275
3185,0.00,0.01,3.2,275
3190,0.00,0.01,5.0,275
3193,0.00,0.01,3.4,275
3198,0.00,0.01,5.3,275
3201,0.00,0.01,3.8,275
3205,0.00,0.01,5.5,275
3209,0.00,0.01,3.9,275
3215,0.00,0.01,6.7,275
3219,0.00,0.01,3.8,275
3223,0.00,0.01,5.2,275
3226,0.00,0.01,3.8,275
3230,0.00,0.01,5.7,275
3234,0.00,0.01,5.0,275
3237,0.00,0.01,5.0,275
3241,0.00,0.01,5.3,275
3245,0.00,0.01,4.9,275
3248,0.00,0.01,3.5,275
3252,0.00,0.01,3.7,275
3255,0.00,0.01,3.1,275
3259,0.00,0.01,4.1,275
3262,0.00,0.01,4.8,275
3265,0.00,0.01,2.8,275
3269,0.00,0.01,4.4,275
3272,0.00,0.01,4.2,275
